product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,weekday,weekend,holiday,month,year,s,volume,comp_1,fp1,comp_2,fp2,comp_3,fp3,lag_price,lag_ps1,lag_ps2,lag_ps3,lag_total_price,lag_customers,lag_product_score,lag_qty,total_price_log,mean_prev_price,var_prev_price
bed4,bed_bath_table,2018-06-01,4,191.6,12.6375,47.9,38,735,5,800,21,9,0,6,2018,6.896551724,8000,79.9,23.00565217,47.9,12.6375,39.99,13.998,47.9,3.9,4.2,4.0,95.8,57.0,4.2,2.0,5.25540986553676,5.939160664016984,0.7596504943379534
health5,health_beauty,2018-03-01,17,5948.3,29.6,349.9,51,625,1,900,22,9,1,3,2018,10.80163043,11400,23.99,14.19875,83.74,11.876875,58.99,15.228,349.9,4.3,4.1,3.9,5248.5,126.0,4.3,15.0,8.690860743429859,7.728015386223618,0.6858142783847494
garden4,garden_tools,2018-07-01,3,149.7,20.99,49.9,57,366,2,1650,22,9,1,7,2018,4.072301967,19800,49.91,28.37333333,49.9,33.28142857,49.9,20.99,49.9,4.1,4.2,4.1,748.5,58.0,4.1,15.0,5.008633291425582,7.198104243310277,0.18907723946200694
furniture1,furniture_decor,2017-10-01,25,960.0,13.98,38.4,49,829,1,850,22,9,2,10,2017,33.78378378,10000,75.0,13.64,38.4,13.98,38.4,13.98,38.4,3.7,3.7,3.7,460.8,7.0,3.7,12.0,6.866933284461882,5.703900409865943,0.7889988296304022
garden4,garden_tools,2017-10-01,36,2156.4,16.81416667,59.9,57,366,2,1650,22,9,2,10,2017,18.18181818,19800,59.9,18.06589744,59.9,17.59548387,59.9,16.81416667,59.9,4.1,4.2,4.1,778.7,115.0,4.1,13.0,7.676195443577513,6.8166309136560495,0.6859511274055475
garden1,garden_tools,2018-01-01,11,1405.0,45.97,127.7272727,58,1893,1,5950,23,8,2,1,2018,22.0,8000,49.9,19.495,49.9,15.84103448,49.9,16.50512821,89.99,4.1,4.2,4.1,2429.73,184.0,4.3,27.0,7.247792581767846,0.0,0.0
garden9,garden_tools,2018-01-01,25,1247.5,17.7532,49.9,58,340,2,1500,23,8,2,1,2018,16.12903226,19800,49.9,19.495,49.9,15.84103448,49.9,16.50512821,55.77096774,4.1,4.2,4.1,2232.6,184.0,4.0,40.0,7.128896827625674,0.0,0.0
garden4,garden_tools,2018-01-01,39,1946.1,16.50512821,49.9,57,366,2,1650,23,8,2,1,2018,20.52631579,19800,49.9,19.495,49.9,15.84103448,49.9,16.50512821,55.75,4.1,4.2,4.1,2468.6,184.0,4.1,44.0,7.573582648887119,0.0,0.0
perfumery1,perfumery,2018-04-01,2,99.98,13.665,49.99,54,1536,2,250,21,9,1,4,2018,4.761904762,3360,49.99,13.665,117.975,21.65,49.99,13.665,50.49,4.3,4.4,4.3,706.86,18.0,4.3,14.0,4.604970165985424,6.111821236097946,0.36110559785333535
health6,health_beauty,2018-05-01,38,2469.62,24.77447368,64.99,50,1257,1,350,23,8,3,5,2018,25.33333333,2964,23.99,7.988571429,79.99,21.943125,58.99,9.4225,64.99,3.9,4.1,3.9,974.85,118.0,3.9,15.0,7.811819571632643,6.266597140855256,0.821838473823775
health7,health_beauty,2018-03-01,10,589.9,15.228,58.99,59,492,2,200,22,9,1,3,2018,11.5,3960,23.99,14.19875,83.74,11.876875,58.99,15.228,58.99,4.3,4.1,3.9,825.86,126.0,3.9,14.0,6.3799530310090296,5.782983080072475,0.9532784624610077
consoles1,consoles_games,2017-09-01,9,179.1,16.13333333,19.9,49,100,4,150,21,9,1,9,2017,7.627118644,2304,19.9,16.13333333,19.9,15.41111111,19.9,16.13333333,19.9,4.2,3.9,4.2,477.6,33.0,4.2,24.0,5.1879443090666655,5.018743321200494,0.6587385052160653
